signal,directions,reference,mean_estimate,std_estimate,success_prob
0.03,2,0.04260362000431451,0.04175413467594859,0.011009881473724423,0.475
0.03,4,0.04260362000431451,0.04309257342744473,0.00845443541493455,0.6625
0.03,8,0.04260362000431451,0.04232979024142617,0.0063389401710532344,0.80625
0.03,16,0.04260362000431451,0.043080415934029774,0.005556432347567398,0.89375
0.03,32,0.04260362000431451,0.04294812974360086,0.005161353135955219,0.90625
0.03,64,0.04260362000431451,0.04209359239906264,0.004154469072614132,0.96875
0.03,128,0.04260362000431451,0.04252337188845133,0.004183959236069587,0.9375
0.05,2,0.04199045897651497,0.043244748868607776,0.0120590232403821,0.56875
0.05,4,0.04199045897651497,0.04366147992819368,0.008762928980936543,0.66875
0.05,8,0.04199045897651497,0.043743243751833305,0.007472179604549731,0.78125
0.05,16,0.04199045897651497,0.04353356975064514,0.006022532605019613,0.85625
0.05,32,0.04199045897651497,0.04357750652734796,0.004886269095614535,0.9125
0.05,64,0.04199045897651497,0.04316883602260253,0.004504761574058837,0.925
0.05,128,0.04199045897651497,0.04303802066935551,0.004153384543486149,0.93125
0.08,2,0.045006185482599256,0.044677300309304994,0.014007955381911113,0.53125
0.08,4,0.045006185482599256,0.04496451857518706,0.0099634424160054,0.6875
0.08,8,0.045006185482599256,0.045136391519642015,0.007620223325599114,0.775
0.08,16,0.045006185482599256,0.04565671105045412,0.005937469754704863,0.8625
0.08,32,0.045006185482599256,0.04524149281023288,0.005672778690765581,0.90625
0.08,64,0.045006185482599256,0.04525997470308042,0.0050240557802139,0.925
0.08,128,0.045006185482599256,0.044530422374642616,0.0044213959620619785,0.95
0.12,2,0.05440810529777041,0.05515471433741208,0.017777309899090123,0.44375
0.12,4,0.05440810529777041,0.054602190381077186,0.013694118404484642,0.525
0.12,8,0.05440810529777041,0.055689882111161285,0.010725417296447326,0.74375
0.12,16,0.05440810529777041,0.05630506616766769,0.0076735397240102286,0.80625
0.12,32,0.05440810529777041,0.05552476629571668,0.006619868533601381,0.9125
0.12,64,0.05440810529777041,0.05473079080728464,0.0062398607377934096,0.93125
0.12,128,0.05440810529777041,0.05587939322534091,0.005547037535131089,0.95625
